년도,월,일,요일,관람객수
2023,8,7,월,432
2023,8,8,화,437
2023,8,9,수,614
2023,8,10,목,54
2023,8,11,금,400
2023,8,12,토,4591
2023,8,13,일,5847
2023,8,14,월,1573
2023,8,15,화,3626
2023,8,16,수,1430
2023,8,17,목,747
2023,8,18,금,523
2023,8,19,토,1969
2023,8,20,일,2441
2023,8,21,월,615
2023,8,22,화,398
2023,8,23,수,273
2023,8,24,목,588
2023,8,25,금,832
2023,8,26,토,5372
2023,8,27,일,9460
2023,8,28,월,302
2023,8,29,화,203
2023,8,30,수,557
2023,8,31,목,1374
2023,9,1,금,1401
2023,9,2,토,10082
2023,9,3,일,6528
2023,9,4,월,1689
2023,9,5,화,974
2023,9,6,수,1017
2023,9,7,목,1141
2023,9,8,금,1705
2023,9,9,토,8358
2023,9,10,일,9018
2023,9,11,월,1391
2023,9,12,화,1124
2023,9,13,수,716
2023,9,14,목,2969
2023,9,15,금,535
2023,9,16,토,4664
2023,9,17,일,7474
2023,9,18,월,1782
2023,9,19,화,2269
2023,9,20,수,459
2023,9,21,목,3053
2023,9,22,금,3056
2023,9,23,토,13095
2023,9,24,일,15138
2023,9,25,월,1631
2023,9,26,화,374
2023,9,27,수,788
2023,9,28,목,11864
2023,9,29,금,20239
2023,9,30,토,13801
2023,10,1,일,22044
2023,10,2,월,23408
2023,10,3,화,15126
2023,10,4,수,3061
2023,10,5,목,2908
2023,10,6,금,4154
2023,10,7,토,14177
2023,10,8,일,16657
2023,10,9,월,15218
2023,10,10,화,2761
2023,10,11,수,3679
2023,10,12,목,3844
2023,10,13,금,4995
2023,10,14,토,3007
2023,10,15,일,16859
2023,10,16,월,3380
2023,10,17,화,5117
2023,10,18,수,5465
2023,10,19,목,1118
2023,10,20,금,6287
2023,10,21,토,12618
2023,10,22,일,15168
2023,10,23,월,3183
2023,10,24,화,3832
2023,10,25,수,4366
2023,10,26,목,4150
2023,10,27,금,6039
2023,10,28,토,20841
2023,10,29,일,32527
2023,10,30,월,4739
2023,10,31,화,3830
2023,11,1,수,3047
2023,11,2,목,4554
2023,11,3,금,2612
2023,11,4,토,16512
2023,11,5,일,2015
2023,11,6,월,670
2023,11,7,화,1894
2023,11,8,수,2199
2023,11,9,목,1932
2023,11,10,금,2067
2023,11,11,토,4012
2023,11,12,일,3466
2023,11,13,월,734
2023,11,14,화,2941
2023,11,15,수,1223
2023,11,16,목,270
2023,11,17,금,1028
2023,11,18,토,2146
2023,11,19,일,4039
2023,11,20,월,946
2023,11,21,화,1128
2023,11,22,수,1257
2023,11,23,목,903
2023,11,24,금,447
2023,11,25,토,1326
2023,11,26,일,23604
2023,11,27,월,276
2023,11,28,화,607
2023,11,29,수,316
2023,11,30,목,208
2023,12,1,금,277
2023,12,2,토,1150
2023,12,3,일,1590
2023,12,4,월,554
2023,12,5,화,542
2023,12,6,수,318
2023,12,7,목,553
2023,12,8,금,888
2023,12,9,토,5337
2023,12,10,일,5776
2023,12,11,월,119
2023,12,12,화,451
2023,12,13,수,569
2023,12,14,목,171
2023,12,15,금,77
2023,12,16,토,553
2023,12,17,일,5644
2023,12,18,월,624
2023,12,19,화,282
2023,12,20,수,267
2023,12,21,목,102
2023,12,22,금,2823
2023,12,23,토,338
2023,12,24,일,904
2023,12,25,월,732
2023,12,26,화,547
2023,12,27,수,643
2023,12,28,목,518
2023,12,29,금,651
2023,12,30,토,344
2023,12,31,일,950
